2.03108420e+02,3.17868247e+02
2.07658275e+02,3.22775624e+02
2.37464701e+02,3.77094533e+02
1.24887312e+02,2.71114045e+02
1.05006623e+02,2.35472417e+02
1.70720076e+02,3.41288331e+02
2.56832455e+02,4.08540780e+02
1.69882010e+01,1.64644900e+02
2.78587843e+02,4.38984340e+02
0.00000000e+00,0.00000000e+00
3.02158769e+02,4.74039613e+02
2.40195513e+02,3.39178061e+02
2.14039606e+02,3.55251271e+02
2.80124222e+02,4.38398851e+02
3.31846607e+02,5.16401314e+02
2.05691439e+02,3.02517842e+02
3.56790252e+02,5.51039094e+02
1.47168323e+02,2.82468519e+02
2.02788308e+02,3.07947424e+02
2.16177232e+02,3.47625013e+02
1.08977894e+02,2.46981542e+02
3.09221007e+01,1.74543525e+02
1.56590544e+02,3.28370650e+02
2.36398897e+02,3.91059868e+02
1.40476870e+02,2.80334768e+02
2.62234310e+02,4.49227799e+02
3.77150824e+02,5.84311777e+02
2.09011038e+02,3.47570214e+02
2.11538629e+02,3.50445067e+02
2.68225125e+02,4.63952689e+02
2.14693563e+02,3.61818333e+02
3.17909654e+02,5.26686310e+02
1.20355019e+02,2.68597588e+02
3.57340199e+02,5.79193655e+02
4.27089202e+02,6.38849728e+02
1.01006860e+02,1.87198877e+02
3.01260650e+02,3.90528978e+02
3.20481805e+02,4.83779625e+02
2.17425715e+02,3.64588499e+02
3.70704686e+02,5.87852812e+02
4.70432521e+02,6.86202597e+02
1.10248042e+02,2.57691623e+02
1.08754882e+02,2.05735196e+02
2.17438324e+02,5.26944348e+02
5.04782237e+02,7.09780561e+02
