2.06187414e+02,3.17113484e+02
2.06100111e+02,3.15420023e+02
2.12679824e+02,3.33487753e+02
1.13985047e+02,2.60670186e+02
1.13901755e+02,2.66419585e+02
1.52360027e+02,3.09525911e+02
2.17186256e+02,3.53759390e+02
2.22079410e+01,1.71735939e+02
2.31176195e+02,3.87817868e+02
0.00000000e+00,0.00000000e+00
2.50671445e+02,4.15237315e+02
2.42178119e+02,3.43326615e+02
2.14018440e+02,3.53758950e+02
2.52058314e+02,3.92970909e+02
2.71848225e+02,4.40944307e+02
2.06735387e+02,3.05220597e+02
2.85708039e+02,4.85938712e+02
1.16964004e+02,2.64090072e+02
2.04616616e+02,3.28970041e+02
2.08922600e+02,3.55392193e+02
1.08483524e+02,2.63136350e+02
2.13516573e+01,1.66985220e+02
1.26413321e+02,3.35991588e+02
2.18739177e+02,4.01023122e+02
1.23241461e+02,2.75250832e+02
2.47292968e+02,4.58976593e+02
3.07304320e+02,5.21475555e+02
2.11226301e+02,3.53745731e+02
2.16525167e+02,3.60112585e+02
2.39658472e+02,3.97268398e+02
2.26491470e+02,3.66053044e+02
2.67250421e+02,4.36929451e+02
1.27242847e+02,2.72679348e+02
2.93616978e+02,4.98891380e+02
3.47518226e+02,5.65782918e+02
1.01014146e+02,1.88818161e+02
3.02142151e+02,3.93256858e+02
3.02145136e+02,4.42813911e+02
2.28718508e+02,3.73519452e+02
3.16922113e+02,5.20765425e+02
3.86300058e+02,6.10482158e+02
1.07772883e+02,2.59827292e+02
1.09200692e+02,2.08378789e+02
1.35660628e+02,4.53703753e+02
5.02124240e+02,6.69288038e+02
