tip_ID,lat,long
A_VOR_Cod_259_I,50.06436371940321,14.417765052903686
A_Wn_1799,47.13467010120323,15.286048349054646
CDN_Hsmu_M2149_L4,50.46610720629614,4.837925304831271
CH_E_611,47.12673350074658,8.751831688438084
CZ_HKm_II_A_4,50.20876869549399,15.831088443056192
CZ_PLm_504_C_004,49.74745450323493,13.377449706943738
CZ_Pn_XV_A_10,50.090446657746,14.400548992121035
CZ_Pu_I_D_20,49.004899514049306,14.769912471639726
CZ_Pu_XVII_E_1,50.17792027946627,14.335655391258404
D_KA_Aug_LX,48.232352355594024,9.461592747444795
D_KNd_1161,50.945081364394866,6.9207844583302665
F_Pn_lat_12044,48.81265482809186,2.4755594843609976
F_Pn_lat_15181,48.85321600214558,2.3493644007490606
NL_Uu_406,52.089167,5.116667
