tip_ID,post-quam,ante-quem
A_VOR_Cod_259_I,1360,1370
A_Wn_1799,1225,1249
CDN_Hsmu_M2149_L4,1554,1555
CH_E_611,1300,1399
CZ_HKm_II_A_4,1470,1479
CZ_PLm_504_C_004,1616,1616
CZ_Pn_XV_A_10,1380,1399
CZ_Pu_I_D_20,1350,1399
CZ_Pu_XVII_E_1,1516,1526
D_KA_Aug_LX,1200,1399
D_KNd_1161,1150,1225
F_Pn_lat_12044,1100,1125
F_Pn_lat_15181,1295,1310
NL_Uu_406,1100,1199
