id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,image_link
3151,Audivit dominus et misertus,g00670,7,,,PL-Wn rps 12722 V,,049v,,,,feast_0762,,,http://cantus.ispan.pl/source/4559,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nmno--nml---l---nn--ln---jklm--l--mlmmkh---k--kl---lkkghg---jklm--lmkh--kk---khkg--g,,http://cantus.ispan.pl/node/28799
3156,Audivit dominus et misertus,g00670,7,,,PL-WRu I F 414,,015v,,,,feast_0762,,,http://cantus.ispan.pl/source/36027,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmk-kj---jk-lm--l--ml-mnkh---kk--kl---lkk-ghg---jk-lm--lmkh--kk---khkg--g,,http://cantus.ispan.pl/node/36179
3159,Audivit dominus et misertus,g00670,7,,,PL-WRu I F 416,,027r,,,,feast_0762,,,http://cantus.ispan.pl/source/41816,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--om-np--nml---l---oo--lmk-kj---jk-lm--l--ml-mokh---kk--kl---lkk-ghg---jk-lm--lmkh--kk---khkg--g,,http://cantus.ispan.pl/node/42236
3171,Audivit dominus et misertus est mihi,g00670,,,,I-BGc : MA 239 (Gamma III.18),,033v,,,,feast_0762,genre_in,,http://musmed.eu/source/8805,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--gkj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmkj---klm--l--ml-mnkh---kj--kl---lkk-hjh---klm--lmkjh--kk---kh-jg--g,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3903#page/74/mode/1up
3172,Audivit dominus et misertus est mihi,g00670,,,,V-CVbav : Vat.lat.05319,,040v,,,,feast_0762,genre_in,,http://musmed.eu/source/8805,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,h--j--k---l--kl--lnmlnml---k---l--ln-ono--on-nnml---nml---n-nnml--lmkj-klkj---kl--l--lmlk-kkjh-kl---kl--l---lml-kkjh-kl---llk--klm--lklk---kmlk-llkj--kj,,https://digi.vatlib.it/view/MSS_Vat.lat.5319/88
3176,Audivit dominus et misertus est mihi,g00670,,,,D-B : Ms mus 40078,,044v,,,,feast_0762,genre_in,,http://musmed.eu/source/8817,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kk--k---kml--l--l---k---l--mnoon--nml---l---nn--lmkkj---jjlm--l--ml-mmkh---kk--kl---lkk-ghg---jk-kkml--lmkh--kk---khkg--g,,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN782404677&view=overview-toc&PHYSID=PHYS_0092&DMDID=DMDLOG_0001
3178,Audivit dominus et misertus est mihi,g00670,7,,,F-Pn : NAL 01414,,017v,,,,feast_0762,genre_in,,http://musmed.eu/source/28426,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmk-kj---jk-lm--l--ml-mnkh---kk--kl---lkk-ghg---jk-lm--lmkh--kk---khkg--g,,https://gallica.bnf.fr/ark:/12148/btv1b525113345/f40.image
3186,Audivit dominus et misertus est mihi,g00670,,,,F-G : Ms 0084 (Ms. 395 Rés.),,106r,,,,feast_0762,genre_in,,http://musmed.eu/source/10075,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmkj---jklm--l--ml-lmkh---kk--kl---lkjkjhghg---jklm--lmkh--kk---khjg--g,,https://gallica.bnf.fr/ark:/12148/btv1b10670666x/f217.item
3191,Audivit dominus et misertus est mihi,g00670,7,,,F-Pn : Ms Lat 00903,,034v,,,,feast_0762,genre_in,,http://musmed.eu/source/13022,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmkj---jklm--l--ml-mnkh---kk--kl---lk-kjhghg---jklm--lmkh--kk---khjg--g,,https://gallica.bnf.fr/ark:/12148/btv1b10506538t/f86.image
3192,Audivit dominus et misertus est mihi,g00670,,,,I-BGc : MA 150 (Psi III.8),,019v,,,,feast_0762,genre_in,,http://musmed.eu/source/41838,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nno--nm---l---nn--lmkh---km--l--ml-mnkh---k--kl---lkjkjhghg---jklm--lmkjh--kk---khjg--g,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3862#page/44/mode/1up
3193,Audivit dominus et misertus est mihi,g00670,,,,D-KNd : Ms 1001b,,048r,,,,feast_0762,genre_in,,http://musmed.eu/source/11493,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--gkj--k---kml--l--l---k---l--nmno--nml---l---nn--lmk-kj---jk-lm--l--ml-mnkh---kk--kl---lk-khjh---jk-lm--lmkh--kk---khjg--g,,https://digital.dombibliothek-koeln.de/hs/content/zoom/311524
3202,Audivit dominus et misertus est mihi,g00670,,,,F-Pn : NAL 01235,,044r,,,,feast_0762,genre_in,,http://musmed.eu/source/13534,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---l---l--nm-no--nm---l---nn--lmk-kj---jk-lm--l--ml-mnk-kh---kk--kl---lkjkjhghg---hk-lm--lmkjh--hkk---khjg--g,,https://gallica.bnf.fr/ark:/12148/btv1b8432301z/f99.image
3210,Audivit dominus et misertus est mihi,g00670,,,,F-Pn : Ms Lat 00833,,026v,,,,feast_0762,genre_in,,http://musmed.eu/source/13007,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmkj---jk-lm--l--ml-mnkh---kk--kl---ghg---hjk-lm--lmkh--kk---khkg--g,,https://gallica.bnf.fr/ark:/12148/btv1b84323061/f60.item.zoom
3212,Audivit dominus et misertus est mihi,g00670,,,,F-NS : Ms 0004,,023r,,,,feast_0762,genre_in,,http://musmed.eu/source/12600,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,h--kj--k---kml--l--l---k---l--nmno--nml---l---nn--lmkj---jklm--l--ml-lmkh---kk--kl---lkjkjhghg---jklm--llmkjh--kk---khjg--g,,https://gallica.bnf.fr/ark:/12148/btv1b100158551/f49.image
3213,Audivit dominus et misertus est mihi,g00670,,,,F-Pn : Ms Lat 17307,,041v,,,,feast_0762,genre_in,,http://musmed.eu/source/13489,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nm---l---nn--lnk-kj---jklm--l--ml-mnk-kh---kk--kl---lkjkjhghg---jk-lm--lmkh--kk---kh-kg--g,,https://gallica.bnf.fr/ark:/12148/btv1b84262643/f88.item.zoom
3216,Audivit dominus et misertus est mihi,g00670,,,,"D-HEu : Cod. Sal. X,007",,022v,,,,feast_0762,genre_in,,http://musmed.eu/source/17266,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmk-kj---jk-lm--l--ml-mnkh---kk--kl---lkk-ghg---jk-lm--lmkh--kk---khkg--g,,https://digi.ub.uni-heidelberg.de/diglit/salX7/00046/image
3217,Audivit dominus et misertus est mihi,g00670,,,,A-Gu : Ms 0807,,046r,,,,feast_0762,genre_in,,http://musmed.eu/source/10059,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nmno--nml---l---m--lmkj---jklm--l--ml-mmkh---kk--kl---lkk-ghg---jklml--lmkh--kk---kh-kg--g,,https://unipub.uni-graz.at/obvugrscript/content/zoom/5564676
3227,Audivit dominus et misertus est mihi,g00670,,,,F-Pn : Ms Lat 00904,,045v,,,,feast_0762,genre_in,,http://musmed.eu/source/13023,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---l---l--nmno--nml---l---nn--lmkj---jklm--l--mlmnkh---kk--kl---lkk-ghg---klm--lmkh--kk---khkg--g,,https://gallica.bnf.fr/ark:/12148/btv1b84324657/f100.image
3230,Audivit dominus et misertus est mihi,g00670,,,,F-Pa : Ms 0197,,021r,,,,feast_0762,genre_in,,http://musmed.eu/source/98760,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--kl--l---k---l--nmno--nml---l---nn--lmkj---jk-lm--l--ml-mnkh---kk--kl---lkjkjhg-hg---gk-lm--lmkh--kk---khkg--g,,https://gallica.bnf.fr/ark:/12148/btv1b52510789n/f51.item.zoom
3238,Audivit dominus et misertus est mihi,g00670,,,,CH-ROM : Ms. liturg. FiD 5,,017r,,,,feast_0762,genre_in,,http://musmed.eu/source/97795,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nmno--nml---l---nn--lmk-kj---jk-lm--l--ml-mkh---kk--kl---lk-kghg---jkl--lmkh--kk---khkg--g,,https://www.e-codices.unifr.ch/en/fdr/0005/17r/0/Sequence-2575
3240,Audivit dominus et misertus est mihi,g00670,,,,F-SEm : Ms 018,,37,,,,feast_0762,genre_in,,http://musmed.eu/source/20281,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--gkj--k---kml--kl--l---k---l--nm-no--nm---l---nn--lnk-kj---jk-mn--m--nm-no-k-h---kk--kl---lkjkjhghg---jk-lm--lmkh--kk---kjkg--g,,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/24791/manifest
3241,Audivit dominus et misertus est mihi,g00670,,,,NL-Uu : Hs. 0415,,036v,,,,feast_0762,genre_in,,http://musmed.eu/source/15626,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--k--k---kml--l--l---k---l--mno--nml---l---m--lmk---jklm--l--mlm-mkh---k--kl---lk-kghg---jklm--lmkh--k---khjg--g,,http://objects.library.uu.nl/reader/index.php?obj=1874-339013&lan=en#page//15/74/06/157406765363965622213848891781282287387.jpg/mode/1up
3242,Audivit dominus et misertus est mihi,g00670,,,,V-CVbav : Ross.0076,,035v,,,,feast_0762,genre_in,,http://musmed.eu/source/98746,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kk--k---kml--l--l---k---l--mno--nm---l---mm--lmk---klm--l--mlmmkh---kj--lk---lkkghg---klm--lmkh--k---jhkg--g,,https://digi.vatlib.it/view/MSS_Ross.76/82
3243,Audivit dominus et misertus est mihi,g00670,,,,F-CA : Ms 0061 (62),,041v,,,,feast_0762,genre_in,,http://musmed.eu/source/9071,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nmno--nm---l---nn--lmk-kj---jklm--l--ml-mnk-kh---kk--kl---lkjkjhghg---jk-lm--lmkjh--kk---khkg--g,,https://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&panier=false&reproductionId=19290&VUE_ID=1708880&carouselThere=false&nbVignettes=4x3&page=4&angle=0&zoom=moyen&tailleReelle=
3245,Audivit dominus et misertus est mihi,g00670,yc = 7,,,D-LEu : Ms Thomas 391,,033v,,,,feast_0762,genre_in,,http://musmed.eu/source/138221,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kk--k---kml--l--l---k---l--nmo--nml---l---m--lmkk---kjklm--l--ml-mmkh---kk--kl---lkk-ghg---kjklm--lmkh--kk---khkg--g,,http://universalviewer.io/uv.html?manifest=https%3A//iiif.ub.uni-leipzig.de/0000032952/manifest.json#?c=0&m=0&s=0&cv=93&xywh=-1871%2C1404%2C7484%2C2807
3246,Audivit dominus et misertus est mihi,g00670,,,,CH-Cobodmer : C 0074,,039r,,,,feast_0762,genre_in,,http://musmed.eu/source/9492,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,ffe--h--k---l--kl--lnmlnml---k---ln--ono--on-nml---nml---nnml--lm-kjklkj---kl--l--lmlkjh-kl---kl--l---lmlkjh-kl---llk--klm--lkl---kmlklkj--kj,,https://www.e-codices.unifr.ch/de/fmb/cb-0074/39r/0/Sequence-825
3259,Audivit dominus et misertus est mihi,g00670,7,,,F-PR : Ms 0012,,061r,,,,feast_0762,genre_in,,http://musmed.eu/source/14008,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--ml-mn--mlk---k---nn--lmkj---klm--l--ml-mnkh---kk--kl---lkk-hkh---jkl--lmkh--kk---khkg--g,,https://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&panier=false&reproductionId=4246&VUE_ID=936856&carouselThere=false&nbVignettes=4x3&page=1&angle=0&zoom=moyen&tailleReelle=
18197,Verba mea auribus percipe,g00771,5,,,PL-Wn rps 12722 V,,080v,,,,feast_1470,,,http://cantus.ispan.pl/source/4559,,,Verba mea auribus percipe domine intellige clamorem meum intende voci orationis meae rex meus et deus meus,,f--f---f--h---kk--h--k---kl--h--h---hhk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--hkjg--k---klmlkl--lk---k--k--kl---ljk--h---h--f--gh--hhkl--kjklk---h--fh---hk---ghgfg--gf---f---fghih-kihg--hihg---fghgfg--gf,,http://cantus.ispan.pl/node/29184
18200,Verba mea auribus percipe,g00771,5,,,PL-WRu I F 414,,028r,,,,feast_1470,,,http://cantus.ispan.pl/source/36027,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--f---f--h---k--h--k---kkk--h--ghg---hk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--kkjg--kk---klmlkl--lk---k--k--kl---lkj--h---h--f--gh--hkhg--hkhg-hihg---fghgfg--gf,,http://cantus.ispan.pl/node/36204
18202,Verba mea auribus percipe,g00771,5,,,PL-WRu I F 416,,047r,,,,feast_1470,,,http://cantus.ispan.pl/source/41816,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--f---f--h---k--h--k---kkk--h--ghg---hk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--kkjg--kk---klmlkl--lk---k--k--kl---lk--h---h--f--gh--hkhg--hkhg-hihg---fghgfg--gf,,http://cantus.ispan.pl/node/42346
18212,Verba mea auribus percipe domine intellege,g00771,,,,I-BGc : MA 239 (Gamma III.18),,052r,,,,feast_1470,genre_in,,http://musmed.eu/source/8805,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--f---f--h---k--h--kk---kkk--h--g---hjk--ghgfg--gf---f--hgh--h--hg-hkg-gf---fh--hkjhg--kk---klmlkl--lk---k--k--kl---lkk--h---h--f--gh--hjkjg--hkhg-hjhg---fghgfg--gf,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3903#page/111/mode/1up
18216,Verba mea auribus percipe domine intellege,g00771,,,,V-CVbav : Vat.lat.05319,,058v,,,,feast_1470,genre_in,,http://musmed.eu/source/14915,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--h---k--k---lk--k--lk-kj---hk-lk--kkj--hkk---lmlk-kjh--kjhjg--hkjhg---g--ghkjh--jhg--h---j--hk-lk--kk---klk-jlkjk-jh--kjh---g--hkjlkjkj--kjh---kkkjh--hghk---kkjh--g--hk--klk-kkjh--gkh-gjhgf---fghgh-hgfg--gf,,https://digi.vatlib.it/view/MSS_Vat.lat.5319/124
18217,Verba mea auribus percipe domine intellige,g00771,,,,D-B : Ms mus 40078,,078r,,,,feast_1470,genre_in,,http://musmed.eu/source/8817,,,Verba mea auribus percipe domine intellige clamorem meum intende voci orationis meae,,f--f---f--h---kj--h--kk---kkk--h--h---hhk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--hhk-kg--kk---klmlkl--lk---k--k--kl---ljk--h---h--f--gh--hhk-kg--hkihg-ggihg---fghgfg--gf,,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN782404677&PHYSID=PHYS_0159&DMDID=DMDLOG_0001
18218,Verba mea auribus percipe domine intellege,g00771,5,,,F-Pn : NAL 01414,,031r,,,,feast_1470,genre_in,,http://musmed.eu/source/28426,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--f---f--h---k--h--k---kkk--h--ghg---hk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--kkjg--kk---klmlkl--lk---k--k--kl---lkk--h---h--f--gh--hkhg--hkhg-hihg---fghgfg--gf,,https://gallica.bnf.fr/ark:/12148/btv1b525113345/f67.image
18223,Verba mea auribus percipe domine intellige,g00771,,,,F-G : Ms 0084 (Ms. 395 Rés.),,115r,,,,feast_1470,genre_in,,http://musmed.eu/source/10075,,,Verba mea auribus percipe domine intellige clamorem meum intende voci orationis meae,,h--h---g--h---kk--h--kk---kk--h--hg---hk--ghgfg--gf---f--hgh--h--hghjg-gf---fh--hkjg--kk---klmlkl--lk---k--k--kl---lkk--h---h--f--h--hkhgh--hkhghjhg---fghgfg--gf,,https://gallica.bnf.fr/ark:/12148/btv1b10670666x/f235.item
18227,Verba mea auribus percipe domine intellege,g00771,,,,I-BGc : MA 150 (Psi III.8),,036r,,,,feast_1470,genre_in,,http://musmed.eu/source/41838,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--f---f--h---k--h--kk---kkk--h--g---hjk--ghgfg--gf---f--ghgh--h--hghjgf---fh--hjkjg--kk---klmlkl--lk---k--k--kl---lkk--h---h--f--h--hkjg--hkhg-hjhg---fghgfg--gf,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3862#page/77/mode/1up
18228,Verba mea auribus percipe domine intellige,g00771,,,,D-KNd : Ms 1001b,,079v,,,,feast_1470,genre_in,,http://musmed.eu/source/11493,,,Verba mea auribus percipe domine intellige clamorem meum intende voci orationis meae,,f--f---f--h---k--h--kk---k--h--h---hjk--ghgfg--gf---f--ghgh--h--hg-hjgf---fh--hjkjg--kk---klmlkl--lk---k--k--kl---lk--h---h--f--h--hjkjg--hkhg-hihg---fghgfg--gf,,https://digital.dombibliothek-koeln.de/hs/content/zoom/311587
18232,Verba mea auribus percipe domine intellege,g00771,,,,V-CVbav : Archivio di San Pietro F.22,,033r,,,,feast_1470,genre_in,,http://musmed.eu/source/14749,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--h---k--k---l--k--lkj---hk-lk--kj--hk---lmlkj--kjhjg--hkjhg---g--ghkjh--jhg--hg---jh--gk-lk--k---klkjlkjkjhj--kjh---h--hkjlkjk--kkjh---kkjh--hghk---kj--g--hk--klk-kjh--gkh-gjhgf---fghghgfg--gf,,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.F.22/65
18233,Verba mea auribus percipe domine intellege,g00771,,,,F-Pn : Ms Lat 00903,,050r,,,,feast_1470,genre_in,,http://musmed.eu/source/13022,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--f---f--h---k--h--kk---kkj--h--h---hk--ghgfg--gf---f--hgh--h--hghjggf---fh--hkjh--kk---klmlkl--lk---k--k--kl---lkk--h---h--f--h--hkjg--hkh-gjhg---fghgfg--gf,,https://gallica.bnf.fr/ark:/12148/btv1b10506538t/f117.image
18237,Verba mea auribus percipe domine intellege,g00771,,,,F-Pn : NAL 01235,,057v,,,,feast_1470,genre_in,,http://musmed.eu/source/13534,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,h--h---f--h---kj--h--hk---kkkj--h--h---hk--ghgfg-gf--gf---f--ghgh--h--hg-hkg-gf---fh--hjkjh--hkk---klmlkl--lk---k--k--kl---lkk--h---h--f--h--hjkjg--hkhg-hjhg---fghgfg--gf,,https://gallica.bnf.fr/ark:/12148/btv1b8432301z/f126.image
18242,Verba mea auribus percipe domine intellege,g00771,,,,F-Pn : Ms Lat 00833,,050r,,,,feast_1470,genre_in,,http://musmed.eu/source/13007,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--f---f--h---k--h--kk---kkk--h--h---hk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--kkjh--kk---klmlkl--lk---k--k--kl---lkk--h---h--f--gh--hkhg--hkhg-hihg---fghgfg--gf,,https://gallica.bnf.fr/ark:/12148/btv1b84323061/f107.item.zoom
18244,Verba mea auribus percipe domine intellige,g00771,,,,F-NS : Ms 0004,,041v,,,,feast_1470,genre_in,,http://musmed.eu/source/12600,,,Verba mea auribus percipe domine intellige clamorem meum intende voci orationis meae,,f--f---f--h---kk--h--kk---kkk--h--h---hk--ghgfg--gf---f--hgh--h--hghjggf---fh--hkjg--kk---klmlkl--lk---k--k--l---lk-kj--h---h--f--h--hkhg--hkh-gjhg---fghgfg--gf,,https://gallica.bnf.fr/ark:/12148/btv1b100158551/f86.image
18245,Verba mea auribus percipe domine intellege,g00771,,,,F-Pn : Ms Lat 17307,,068v,,,,feast_1470,genre_in,,http://musmed.eu/source/13489,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,h--h---f--h---kj--h--kk---kkkj--h--h---hkk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--hjkjh--kk---klmlkl--lk---k--k--kl---lkk--h---h--f--h--hkjg--hkhg-hjhg---fghgfg--gf,,https://gallica.bnf.fr/ark:/12148/btv1b84262643/f142.item.zoom
18246,Verba mea auribus percipe domine intellege,g00771,,,,"D-HEu : Cod. Sal. X,007",,037v,,,,feast_1470,genre_in,,http://musmed.eu/source/17266,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--f---f--h---kj--h--kk---kkk--h--ghg---hk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--kkjg--kk---klmlkl--lk---k--k--kl---lkk--h---h--f--h--hkhg--hkhg-hihg---fghgfg--gf,,https://digi.ub.uni-heidelberg.de/diglit/salX7/00076/image
18247,Verba mea auribus percipe domine intellege,g00771,,,,A-Gu : Ms 0807,,066v,,,,feast_1470,genre_in,,http://musmed.eu/source/10059,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--f---f--h---kk--h--kk---hk--h--h---hjk--ghgfg--gf---f--ghgh--h--hg-hkg-ggf---fh--hjkjg--kk---kl-mlkl--lk---k--k--kl---ljk--h---h--f--gh--hjkjg--hikihg-ghihg---fg-hgfg--gf,,https://unipub.uni-graz.at/obvugrscript/content/zoom/5564717
18256,Verba mea auribus percipe domine intellige,g00771,,,,F-Pn : Ms Lat 00904,,065v,,,,feast_1470,genre_in,,http://musmed.eu/source/13023,,,Verba mea auribus percipe domine intellige clamorem meum intende voci orationis meae,,f--f---f--h---k--h--kk---kkk--h--hg---hk--ghgfg--gf---f--ghgh--h--kh-hg---h--hkjh--kk---klmlkl--lk---k--k--kl---lkk--f---h--f--h--hkhg--hjhg---fghgfg--gf,,https://gallica.bnf.fr/ark:/12148/btv1b84324657/f142.image
18260,Verba mea auribus percipe domine intellege,g00771,,,,F-Pa : Ms 0197,,039r,,,,feast_1470,genre_in,,http://musmed.eu/source/98760,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,g--g---f--h---k--h--kk---kk--h--hg---hk--ghgfg--gf---f--ghgh--h--hg-hjg-gf---hk--kjh--kk---kl-mlkl--lk---k--k--kl---ljk--h---h--f--h--hkhg--hkhg-hihg---fg-hgfg--gf,,https://gallica.bnf.fr/ark:/12148/btv1b52510789n/f87.item.zoom
18263,Verba mea auribus percipe domine intellege,g00771,,,,CH-ROM : Ms. liturg. FiD 5,,029v,,,,feast_1470,genre_in,,http://musmed.eu/source/97795,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--f---f--h---k--h--k---kkk--h--ghg---hk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--kkjg--kk---kl-mlkl--lk---k--k--kl---lkk--h---h--f--gh--hkhg--hkhg-hjhg---fg-hgfg--gf,,https://www.e-codices.unifr.ch/en/fdr/0005/29v/0/Sequence-2575
18266,Verba mea auribus percipe domine intellige,g00771,,,,NL-Uu : Hs. 0415,,059r,,,,feast_1470,genre_in,,http://musmed.eu/source/15626,,,Verba mea auribus percipe domine intellige clamorem meum intende voci oracionis meae,,f--f---f--h---k--h--k---kk--h--hg---hk--ghgfg--gf---f--gh--gh--h---hg-hjg-gf--fh--hkjg--k---klmlkl--lk---k--k--kl---lk--h---h--f--gh--hkjgh--hkhg-hjhg---fghgfg--gf,,http://objects.library.uu.nl/reader/index.php?obj=1874-339013&lan=en#page//16/53/31/165331121410914436978542859859484388247.jpg/mode/1up
18268,Verba mea auribus percipe domine intellege,g00771,,,,F-SEm : Ms 018,,78,,,,feast_1470,genre_in,,http://musmed.eu/source/20281,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,h--h---g--h---k--h--kk---kkk--h--h---hk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--hkjhg--kk---klmlkl--lk---k--k--kl---lkk--h---f--gh--hkhg--hkhg--hjhg---fghgfg--gf,,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/24791/manifest
18269,Verba mea auribus percipe domine intellige,g00771,,,,F-CA : Ms 0061 (62),,060v,,,,feast_1470,genre_in,,http://musmed.eu/source/9071,,,Verba mea auribus percipe domine intellige clamorem meum intende voci orationis meae,,f--f---f--h---k--h--kk---kkkj--h--h---hk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--hjkjh--kk---klmlkl--lk---k--k--kl---lkk--h---h--f--gh--hjkjg--hkhg-hjhg---fghgfg--gf,,https://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&panier=false&reproductionId=19290&VUE_ID=1708899&carouselThere=false&nbVignettes=4x3&page=6&angle=0&zoom=moyen&tailleReelle=
18271,Verba mea auribus percipe domine intellige,g00771,v = 5,,,D-LEu : Ms Thomas 391,,045v,,,,feast_1470,genre_in,,http://musmed.eu/source/138221,,,Verba mea auribus percipe domine intellige clamorem meum intende voci orationis meae,,f--f---f--h---k--h--k---kkk--h--h---hhk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--hhhkjg--kk---klmlkl--lk---k--k--kl---ljk--h---h--f--gh-hhkjg--hikih--hghihg---fghgfg--gf,,http://universalviewer.io/uv.html?manifest=https%3A//iiif.ub.uni-leipzig.de/0000032952/manifest.json#?c=0&m=0&s=0&cv=117&xywh=-1210%2C1403%2C6162%2C2808
18272,Verba mea auribus percipe domine intellege,g00771,,,,CH-Cobodmer : C 0074,,056v,,,,feast_1470,genre_in,,http://musmed.eu/source/9492,,,Verba mea auribus percipe domine intellege clamorem meum intende voci orationis meae,,f--h---k--k---klk--k--lk-kj---hk-lk--kkj--hkk---lmlkjh--kjhjg--hkjhg---g--ghkjh--jh-hg--hg---j--gk-lk--kk---klkjlkjkjh--kjh---g--hkjlkjkj--kjh---kkkjh--hghk---kkjh--g--hk--klk-kjh--gkhgjhgf---fghghgfg--gf,,https://www.e-codices.unifr.ch/de/fmb/cb-0074/56v/0/Sequence-825
18274,Verba mea auribus percipe domine intellege,g00771,,,,V-CVbav : Ross.0076,,057v,,,,feast_1470,genre_in,,http://musmed.eu/source/98746,,,Verba mea auribus percipe domine intellege clamorem meum [intende voci orationis] meae,,f--f---f--h---k--h--kk---kkkj--h--h---hjk--ghgfg--gf---f--ghgh--h--hg-hkg-gf---fh--hjkjhg--kk---klmlkl--lk---k--k--kl---lkjk--h---h--f--gh--hjkjg--hikih-ghihg---fghgfg--gf,,https://digi.vatlib.it/view/MSS_Ross.76/126
